 HJD-2451545  Normalized_Flux  Normalized_Flux_err
   6.1003541e+03   1.0018729e+00   3.7761778e-03
   6.1003571e+03   1.0041195e+00   3.7846454e-03
   6.1003601e+03   9.9837044e-01   3.7629765e-03
   6.1003631e+03   9.9445559e-01   3.7482210e-03
   6.1003661e+03   1.0115476e+00   3.8126427e-03
   6.1003690e+03   9.9907662e-01   3.7656382e-03
   6.1011382e+03   9.9837906e-01   5.0446878e-03
   6.1011423e+03   9.9617248e-01   5.0335383e-03
   6.1011450e+03   9.9697774e-01   5.0376071e-03
   6.1011480e+03   9.8977924e-01   5.0012340e-03
   6.1011510e+03   9.9215385e-01   5.0132326e-03
   6.1011540e+03   9.9245710e-01   5.0147649e-03
   6.1011569e+03   9.9026535e-01   5.0036902e-03
   6.1011599e+03   9.9581380e-01   5.0317259e-03
   6.1011629e+03   9.9600010e-01   5.0326672e-03
   6.1011659e+03   9.9682450e-01   5.0368328e-03
   6.1011689e+03   9.9597038e-01   5.0325171e-03
   6.1011720e+03   9.9749806e-01   5.0402363e-03
   6.1011750e+03   9.9838604e-01   5.0447231e-03
   6.1011779e+03   1.0006863e+00   5.0563459e-03
   6.1011809e+03   9.9596772e-01   5.0325036e-03
   6.1011841e+03   9.9566248e-01   5.0309613e-03
   6.1011898e+03   1.0005659e+00   5.0557377e-03
   6.1011927e+03   1.0016413e+00   5.0611715e-03
   6.1011956e+03   9.9878686e-01   5.0467484e-03
   6.1011986e+03   1.0018859e+00   5.0624074e-03
   6.1012015e+03   9.9453140e-01   5.0252461e-03
   6.1012044e+03   9.9514311e-01   5.0283370e-03
   6.1012074e+03   9.9523404e-01   5.0287964e-03
   6.1012103e+03   1.0086780e+00   5.0967270e-03
   6.1012132e+03   1.0032412e+00   5.0692554e-03
   6.1012162e+03   9.9866323e-01   5.0461237e-03
   6.1012191e+03   1.0037648e+00   5.0719011e-03
   6.1012221e+03   9.9948983e-01   5.0503004e-03
   6.1012250e+03   9.9798796e-01   5.0427117e-03
   6.1012279e+03   9.9413669e-01   5.0232516e-03
   6.1012309e+03   9.9814055e-01   5.0434827e-03
   6.1012338e+03   9.9691732e-01   5.0373018e-03
   6.1012367e+03   9.9148298e-01   5.0098428e-03
   6.1012396e+03   9.8759513e-01   4.9901980e-03
   6.1012425e+03   9.9462402e-01   5.0257141e-03
   6.1012454e+03   9.9273173e-01   5.0161525e-03
   6.1012483e+03   1.0001670e+00   5.0537219e-03
   6.1012512e+03   9.9636500e-01   5.0345110e-03
   6.1012545e+03   9.9878686e-01   5.0467484e-03
   6.1012576e+03   1.0032729e+00   5.0694160e-03
   6.1012605e+03   1.0001968e+00   5.0538727e-03
   6.1012635e+03   9.9236560e-01   5.0143026e-03
   6.1012664e+03   9.9432615e-01   5.0242090e-03
   6.1012694e+03   9.9853953e-01   5.0454987e-03
   6.1012724e+03   9.9636500e-01   5.0345110e-03
   6.1012753e+03   1.0005026e+00   5.0554178e-03
   6.1012782e+03   9.9967332e-01   5.0512276e-03
   6.1012811e+03   9.9731498e-01   5.0393112e-03
   6.1012840e+03   1.0056454e+00   5.0814037e-03
   6.1012870e+03   1.0025955e+00   5.0659929e-03
   6.1012899e+03   1.0042260e+00   5.0742317e-03
   6.1012929e+03   1.0087373e+00   5.0970270e-03
   6.1012958e+03   1.0072835e+00   5.0896811e-03
   6.1012987e+03   1.0001968e+00   5.0538727e-03
   6.1013016e+03   1.0055544e+00   5.0809441e-03
   6.1013045e+03   1.0089563e+00   5.0981332e-03
   6.1013074e+03   1.0072233e+00   5.0893769e-03
   6.1013103e+03   1.0094801e+00   5.1007803e-03
   6.1013132e+03   1.0079340e+00   5.0929679e-03
   6.1013161e+03   1.0073154e+00   5.0898419e-03
   6.1013190e+03   1.0027954e+00   5.0670032e-03
   6.1013219e+03   1.0041660e+00   5.0739284e-03
   6.1013247e+03   1.0015181e+00   5.0605492e-03
   6.1013283e+03   1.0063885e+00   5.0851585e-03
   6.1013313e+03   9.9890885e-01   5.0473648e-03
   6.1013342e+03   1.0005044e+00   5.0554267e-03
   6.1013370e+03   1.0064964e+00   5.0857037e-03
   6.1013398e+03   1.0053981e+00   5.0801542e-03
   6.1013427e+03   1.0008410e+00   5.0571279e-03
   6.1013456e+03   9.9752875e-01   5.0403913e-03
   6.1013484e+03   9.8892934e-01   4.9969395e-03
   6.1013512e+03   1.0069748e+00   5.0881208e-03
   6.1013541e+03   1.0078411e+00   5.0924983e-03
   6.1013569e+03   9.9774257e-01   5.0414717e-03
   6.1013597e+03   1.0130518e+00   5.1188275e-03
   6.1013626e+03   1.0013642e+00   5.0597714e-03
   6.1013656e+03   1.0086151e+00   5.0964093e-03
